                                                               24 Nov 2018 14:38:32
Facility-Facility1-Receiver-Receiver1-To-Satellite-FOSSASAT1-Transmitter-DL_TX


       Time (UTCG)          Angle (deg)    Freq. Doppler Shift (kHz)     Range (km)
------------------------    -----------    -------------------------    -----------
29 Nov 2018 23:49:17.000         -0.008                                            
                                                               5.140    2318.537961
29 Nov 2018 23:49:18.000          0.003                        5.137    2318.054116
29 Nov 2018 23:49:19.000          0.026                        5.112    2314.526890
29 Nov 2018 23:49:20.000          0.049                        5.087    2311.016824
29 Nov 2018 23:49:21.000          0.072                        5.062    2307.523999
29 Nov 2018 23:49:22.000          0.096                        5.037    2304.048499
29 Nov 2018 23:49:23.000          0.119                        5.011    2300.590404
29 Nov 2018 23:49:24.000          0.142                        4.986    2297.149798
29 Nov 2018 23:49:25.000          0.165                        4.960    2293.726762
29 Nov 2018 23:49:26.000          0.189                        4.934    2290.321379
29 Nov 2018 23:49:27.000          0.212                        4.909    2286.933731
29 Nov 2018 23:49:28.000          0.235                        4.883    2283.563899
29 Nov 2018 23:49:29.000          0.259                        4.857    2280.211968
29 Nov 2018 23:49:30.000          0.282                        4.830    2276.878019
29 Nov 2018 23:49:31.000          0.306                        4.804    2273.562134
29 Nov 2018 23:49:32.000          0.329                        4.778    2270.264397
29 Nov 2018 23:49:33.000          0.353                        4.751    2266.984889
29 Nov 2018 23:49:34.000          0.376                        4.724    2263.723693
29 Nov 2018 23:49:35.000          0.400                        4.698    2260.480892
29 Nov 2018 23:49:36.000          0.423                        4.671    2257.256568
29 Nov 2018 23:49:37.000          0.447                        4.644    2254.050804
29 Nov 2018 23:49:38.000          0.470                        4.617    2250.863682
29 Nov 2018 23:49:39.000          0.493                        4.589    2247.695284
29 Nov 2018 23:49:40.000          0.517                        4.562    2244.545694
29 Nov 2018 23:49:41.000          0.540                        4.534    2241.414993
29 Nov 2018 23:49:42.000          0.563                        4.507    2238.303263
29 Nov 2018 23:49:43.000          0.587                        4.479    2235.210588
29 Nov 2018 23:49:44.000          0.610                        4.451    2232.137049
29 Nov 2018 23:49:45.000          0.633                        4.423    2229.082728
29 Nov 2018 23:49:46.000          0.656                        4.395    2226.047708
29 Nov 2018 23:49:47.000          0.680                        4.367    2223.032070
29 Nov 2018 23:49:48.000          0.703                        4.339    2220.035896
29 Nov 2018 23:49:49.000          0.726                        4.310    2217.059269
29 Nov 2018 23:49:50.000          0.749                        4.281    2214.102270
29 Nov 2018 23:49:51.000          0.772                        4.253    2211.164980
29 Nov 2018 23:49:52.000          0.794                        4.224    2208.247481
29 Nov 2018 23:49:53.000          0.817                        4.195    2205.349854
29 Nov 2018 23:49:54.000          0.840                        4.166    2202.472181
29 Nov 2018 23:49:55.000          0.862                        4.137    2199.614543
29 Nov 2018 23:49:56.000          0.885                        4.108    2196.777019
29 Nov 2018 23:49:57.000          0.908                        4.078    2193.959692
29 Nov 2018 23:49:58.000          0.930                        4.049    2191.162642
29 Nov 2018 23:49:59.000          0.952                        4.019    2188.385948
29 Nov 2018 23:50:00.000          0.975                        3.989    2185.629692
29 Nov 2018 23:50:01.000          0.997                        3.959    2182.893953
29 Nov 2018 23:50:02.000          1.019                        3.929    2180.178811
29 Nov 2018 23:50:03.000          1.041                        3.899    2177.484345
29 Nov 2018 23:50:04.000          1.063                        3.869    2174.810635
29 Nov 2018 23:50:05.000          1.084                        3.839    2172.157760
29 Nov 2018 23:50:06.000          1.106                        3.808    2169.525799
29 Nov 2018 23:50:07.000          1.128                        3.778    2166.914831
29 Nov 2018 23:50:08.000          1.149                        3.747    2164.324933
29 Nov 2018 23:50:09.000          1.170                        3.716    2161.756183
29 Nov 2018 23:50:10.000          1.192                        3.685    2159.208661
29 Nov 2018 23:50:11.000          1.213                        3.654    2156.682442
29 Nov 2018 23:50:12.000          1.234                        3.623    2154.177605
29 Nov 2018 23:50:13.000          1.255                        3.592    2151.694226
29 Nov 2018 23:50:14.000          1.275                        3.561    2149.232382
29 Nov 2018 23:50:15.000          1.296                        3.529    2146.792148
29 Nov 2018 23:50:16.000          1.317                        3.498    2144.373602
29 Nov 2018 23:50:17.000          1.337                        3.466    2141.976818
29 Nov 2018 23:50:18.000          1.357                        3.434    2139.601872
29 Nov 2018 23:50:19.000          1.377                        3.402    2137.248838
29 Nov 2018 23:50:20.000          1.397                        3.370    2134.917791
29 Nov 2018 23:50:21.000          1.417                        3.338    2132.608805
29 Nov 2018 23:50:22.000          1.437                        3.306    2130.321954
29 Nov 2018 23:50:23.000          1.457                        3.274    2128.057311
29 Nov 2018 23:50:24.000          1.476                        3.241    2125.814949
29 Nov 2018 23:50:25.000          1.495                        3.209    2123.594940
29 Nov 2018 23:50:26.000          1.515                        3.176    2121.397357
29 Nov 2018 23:50:27.000          1.534                        3.143    2119.222271
29 Nov 2018 23:50:28.000          1.552                        3.110    2117.069752
29 Nov 2018 23:50:29.000          1.571                        3.078    2114.939872
29 Nov 2018 23:50:30.000          1.590                        3.044    2112.832702
29 Nov 2018 23:50:31.000          1.608                        3.011    2110.748309
29 Nov 2018 23:50:32.000          1.626                        2.978    2108.686765
29 Nov 2018 23:50:33.000          1.645                        2.945    2106.648137
29 Nov 2018 23:50:34.000          1.662                        2.911    2104.632493
29 Nov 2018 23:50:35.000          1.680                        2.878    2102.639902
29 Nov 2018 23:50:36.000          1.698                        2.844    2100.670430
29 Nov 2018 23:50:37.000          1.715                        2.810    2098.724144
29 Nov 2018 23:50:38.000          1.733                        2.777    2096.801110
29 Nov 2018 23:50:39.000          1.750                        2.743    2094.901394
29 Nov 2018 23:50:40.000          1.767                        2.709    2093.025060
29 Nov 2018 23:50:41.000          1.783                        2.674    2091.172173
29 Nov 2018 23:50:42.000          1.800                        2.640    2089.342796
29 Nov 2018 23:50:43.000          1.816                        2.606    2087.536993
29 Nov 2018 23:50:44.000          1.832                        2.572    2085.754826
29 Nov 2018 23:50:45.000          1.849                        2.537    2083.996356
29 Nov 2018 23:50:46.000          1.864                        2.503    2082.261646
29 Nov 2018 23:50:47.000          1.880                        2.468    2080.550756
29 Nov 2018 23:50:48.000          1.896                        2.433    2078.863745
29 Nov 2018 23:50:49.000          1.911                        2.398    2077.200673
29 Nov 2018 23:50:50.000          1.926                        2.363    2075.561599
29 Nov 2018 23:50:51.000          1.941                        2.328    2073.946581
29 Nov 2018 23:50:52.000          1.956                        2.293    2072.355675
29 Nov 2018 23:50:53.000          1.970                        2.258    2070.788939
29 Nov 2018 23:50:54.000          1.985                        2.223    2069.246429
29 Nov 2018 23:50:55.000          1.999                        2.188    2067.728198
29 Nov 2018 23:50:56.000          2.013                        2.152    2066.234303
29 Nov 2018 23:50:57.000          2.026                        2.117    2064.764796
29 Nov 2018 23:50:58.000          2.040                        2.081    2063.319730
29 Nov 2018 23:50:59.000          2.053                        2.046    2061.899158
29 Nov 2018 23:51:00.000          2.066                        2.010    2060.503131
29 Nov 2018 23:51:01.000          2.079                        1.974    2059.131700
29 Nov 2018 23:51:02.000          2.092                        1.938    2057.784915
29 Nov 2018 23:51:03.000          2.105                        1.902    2056.462824
29 Nov 2018 23:51:04.000          2.117                        1.866    2055.165476
29 Nov 2018 23:51:05.000          2.129                        1.830    2053.892918
29 Nov 2018 23:51:06.000          2.141                        1.794    2052.645198
29 Nov 2018 23:51:07.000          2.153                        1.758    2051.422360
29 Nov 2018 23:51:08.000          2.164                        1.722    2050.224451
29 Nov 2018 23:51:09.000          2.176                        1.685    2049.051514
29 Nov 2018 23:51:10.000          2.187                        1.649    2047.903592
29 Nov 2018 23:51:11.000          2.197                        1.613    2046.780728
