                                                              24 Nov 2018 15:42:23
Facility-Facility1-Receiver-Receiver1-To-Satellite-FOSSASAT1-Transmitter-DL_TX


      Time (UTCG)          Angle (deg)    Freq. Doppler Shift (kHz)     Range (km)
-----------------------    -----------    -------------------------    -----------
1 Dec 2018 21:52:47.000         -0.030                                            
                                                             10.393    2309.616422
1 Dec 2018 21:52:48.000          0.010                       10.392    2308.008377
1 Dec 2018 21:52:49.000          0.057                       10.391    2300.856500
1 Dec 2018 21:52:50.000          0.104                       10.390    2293.705605
1 Dec 2018 21:52:51.000          0.152                       10.388    2286.555711
1 Dec 2018 21:52:52.000          0.200                       10.387    2279.406838
1 Dec 2018 21:52:53.000          0.249                       10.385    2272.259004
1 Dec 2018 21:52:54.000          0.299                       10.384    2265.112229
1 Dec 2018 21:52:55.000          0.349                       10.382    2257.966533
1 Dec 2018 21:52:56.000          0.400                       10.380    2250.821935
1 Dec 2018 21:52:57.000          0.452                       10.379    2243.678456
1 Dec 2018 21:52:58.000          0.504                       10.377    2236.536116
1 Dec 2018 21:52:59.000          0.556                       10.375    2229.394936
1 Dec 2018 21:53:00.000          0.609                       10.374    2222.254936
1 Dec 2018 21:53:01.000          0.663                       10.372    2215.116137
1 Dec 2018 21:53:02.000          0.717                       10.370    2207.978561
1 Dec 2018 21:53:03.000          0.772                       10.368    2200.842228
1 Dec 2018 21:53:04.000          0.827                       10.366    2193.707162
1 Dec 2018 21:53:05.000          0.883                       10.365    2186.573383
1 Dec 2018 21:53:06.000          0.939                       10.363    2179.440915
1 Dec 2018 21:53:07.000          0.995                       10.361    2172.309779
1 Dec 2018 21:53:08.000          1.052                       10.359    2165.179998
1 Dec 2018 21:53:09.000          1.110                       10.357    2158.051595
1 Dec 2018 21:53:10.000          1.168                       10.355    2150.924594
1 Dec 2018 21:53:11.000          1.227                       10.353    2143.799018
1 Dec 2018 21:53:12.000          1.285                       10.350    2136.674891
1 Dec 2018 21:53:13.000          1.345                       10.348    2129.552237
1 Dec 2018 21:53:14.000          1.404                       10.346    2122.431081
1 Dec 2018 21:53:15.000          1.465                       10.344    2115.311447
1 Dec 2018 21:53:16.000          1.525                       10.342    2108.193360
1 Dec 2018 21:53:17.000          1.586                       10.339    2101.076846
1 Dec 2018 21:53:18.000          1.648                       10.337    2093.961929
1 Dec 2018 21:53:19.000          1.710                       10.335    2086.848637
1 Dec 2018 21:53:20.000          1.772                       10.332    2079.736995
1 Dec 2018 21:53:21.000          1.835                       10.330    2072.627029
1 Dec 2018 21:53:22.000          1.898                       10.327    2065.518768
1 Dec 2018 21:53:23.000          1.961                       10.325    2058.412237
1 Dec 2018 21:53:24.000          2.025                       10.322    2051.307465
1 Dec 2018 21:53:25.000          2.089                       10.319    2044.204479
1 Dec 2018 21:53:26.000          2.154                       10.317    2037.103307
1 Dec 2018 21:53:27.000          2.219                       10.314    2030.003979
1 Dec 2018 21:53:28.000          2.284                       10.311    2022.906522
1 Dec 2018 21:53:29.000          2.350                       10.309    2015.810968
1 Dec 2018 21:53:30.000          2.416                       10.306    2008.717344
1 Dec 2018 21:53:31.000          2.483                       10.303    2001.625681
1 Dec 2018 21:53:32.000          2.550                       10.300    1994.536011
1 Dec 2018 21:53:33.000          2.617                       10.297    1987.448362
1 Dec 2018 21:53:34.000          2.685                       10.294    1980.362768
1 Dec 2018 21:53:35.000          2.753                       10.291    1973.279258
1 Dec 2018 21:53:36.000          2.822                       10.288    1966.197867
1 Dec 2018 21:53:37.000          2.890                       10.285    1959.118625
1 Dec 2018 21:53:38.000          2.960                       10.281    1952.041566
1 Dec 2018 21:53:39.000          3.029                       10.278    1944.966724
1 Dec 2018 21:53:40.000          3.099                       10.275    1937.894131
1 Dec 2018 21:53:41.000          3.170                       10.272    1930.823823
1 Dec 2018 21:53:42.000          3.241                       10.268    1923.755833
1 Dec 2018 21:53:43.000          3.312                       10.265    1916.690198
1 Dec 2018 21:53:44.000          3.383                       10.261    1909.626953
1 Dec 2018 21:53:45.000          3.455                       10.258    1902.566133
1 Dec 2018 21:53:46.000          3.528                       10.254    1895.507776
1 Dec 2018 21:53:47.000          3.600                       10.250    1888.451919
1 Dec 2018 21:53:48.000          3.674                       10.247    1881.398599
1 Dec 2018 21:53:49.000          3.747                       10.243    1874.347854
1 Dec 2018 21:53:50.000          3.821                       10.239    1867.299723
1 Dec 2018 21:53:51.000          3.895                       10.235    1860.254246
1 Dec 2018 21:53:52.000          3.970                       10.231    1853.211461
1 Dec 2018 21:53:53.000          4.045                       10.227    1846.171410
1 Dec 2018 21:53:54.000          4.121                       10.223    1839.134133
1 Dec 2018 21:53:55.000          4.197                       10.219    1832.099672
1 Dec 2018 21:53:56.000          4.273                       10.215    1825.068068
1 Dec 2018 21:53:57.000          4.350                       10.211    1818.039364
1 Dec 2018 21:53:58.000          4.427                       10.206    1811.013604
