                                                               24 Nov 2018 14:57:10
Facility-Facility1-Receiver-Receiver1-To-Satellite-FOSSASAT1-Transmitter-DL_TX


       Time (UTCG)          Angle (deg)    Freq. Doppler Shift (kHz)     Range (km)
------------------------    -----------    -------------------------    -----------
27 Nov 2018 10:45:28.000         -0.013                                            
                                                              10.424    2349.963051
27 Nov 2018 10:45:29.000          0.022                       10.424    2346.473389
27 Nov 2018 10:45:30.000          0.068                       10.423    2339.299398
27 Nov 2018 10:45:31.000          0.115                       10.423    2332.125861
27 Nov 2018 10:45:32.000          0.162                       10.422    2324.952791
27 Nov 2018 10:45:33.000          0.210                       10.421    2317.780203
27 Nov 2018 10:45:34.000          0.258                       10.421    2310.608112
27 Nov 2018 10:45:35.000          0.307                       10.420    2303.436531
27 Nov 2018 10:45:36.000          0.357                       10.419    2296.265476
27 Nov 2018 10:45:37.000          0.407                       10.418    2289.094960
27 Nov 2018 10:45:38.000          0.458                       10.418    2281.924999
27 Nov 2018 10:45:39.000          0.509                       10.417    2274.755608
27 Nov 2018 10:45:40.000          0.561                       10.416    2267.586802
27 Nov 2018 10:45:41.000          0.613                       10.415    2260.418597
27 Nov 2018 10:45:42.000          0.666                       10.414    2253.251007
27 Nov 2018 10:45:43.000          0.720                       10.413    2246.084049
27 Nov 2018 10:45:44.000          0.774                       10.412    2238.917739
27 Nov 2018 10:45:45.000          0.828                       10.411    2231.752092
27 Nov 2018 10:45:46.000          0.883                       10.410    2224.587125
27 Nov 2018 10:45:47.000          0.938                       10.409    2217.422854
27 Nov 2018 10:45:48.000          0.994                       10.408    2210.259296
27 Nov 2018 10:45:49.000          1.050                       10.407    2203.096468
27 Nov 2018 10:45:50.000          1.107                       10.406    2195.934385
27 Nov 2018 10:45:51.000          1.164                       10.405    2188.773067
27 Nov 2018 10:45:52.000          1.222                       10.404    2181.612529
27 Nov 2018 10:45:53.000          1.280                       10.403    2174.452789
27 Nov 2018 10:45:54.000          1.338                       10.401    2167.293866
27 Nov 2018 10:45:55.000          1.397                       10.400    2160.135776
27 Nov 2018 10:45:56.000          1.456                       10.399    2152.978539
27 Nov 2018 10:45:57.000          1.516                       10.398    2145.822172
27 Nov 2018 10:45:58.000          1.576                       10.396    2138.666694
27 Nov 2018 10:45:59.000          1.636                       10.395    2131.512124
27 Nov 2018 10:46:00.000          1.697                       10.394    2124.358480
27 Nov 2018 10:46:01.000          1.758                       10.392    2117.205783
27 Nov 2018 10:46:02.000          1.820                       10.391    2110.054050
27 Nov 2018 10:46:03.000          1.882                       10.389    2102.903303
27 Nov 2018 10:46:04.000          1.945                       10.388    2095.753561
27 Nov 2018 10:46:05.000          2.008                       10.386    2088.604843
27 Nov 2018 10:46:06.000          2.071                       10.385    2081.457171
27 Nov 2018 10:46:07.000          2.134                       10.383    2074.310565
27 Nov 2018 10:46:08.000          2.198                       10.382    2067.165046
27 Nov 2018 10:46:09.000          2.263                       10.380    2060.020635
27 Nov 2018 10:46:10.000          2.328                       10.378    2052.877353
27 Nov 2018 10:46:11.000          2.393                       10.377    2045.735222
27 Nov 2018 10:46:12.000          2.458                       10.375    2038.594263
27 Nov 2018 10:46:13.000          2.524                       10.373    2031.454500
27 Nov 2018 10:46:14.000          2.590                       10.371    2024.315954
27 Nov 2018 10:46:15.000          2.657                       10.370    2017.178649
27 Nov 2018 10:46:16.000          2.724                       10.368    2010.042607
27 Nov 2018 10:46:17.000          2.791                       10.366    2002.907851
27 Nov 2018 10:46:18.000          2.859                       10.364    1995.774405
27 Nov 2018 10:46:19.000          2.927                       10.362    1988.642293
27 Nov 2018 10:46:20.000          2.996                       10.360    1981.511540
27 Nov 2018 10:46:21.000          3.065                       10.358    1974.382169
27 Nov 2018 10:46:22.000          3.134                       10.356    1967.254206
27 Nov 2018 10:46:23.000          3.204                       10.354    1960.127675
27 Nov 2018 10:46:24.000          3.274                       10.352    1953.002603
27 Nov 2018 10:46:25.000          3.344                       10.349    1945.879015
27 Nov 2018 10:46:26.000          3.415                       10.347    1938.756937
27 Nov 2018 10:46:27.000          3.486                       10.345    1931.636396
27 Nov 2018 10:46:28.000          3.558                       10.343    1924.517418
27 Nov 2018 10:46:29.000          3.630                       10.340    1917.400031
27 Nov 2018 10:46:30.000          3.702                       10.338    1910.284263
27 Nov 2018 10:46:31.000          3.775                       10.336    1903.170141
27 Nov 2018 10:46:32.000          3.848                       10.333    1896.057693
27 Nov 2018 10:46:33.000          3.922                       10.331    1888.946949
27 Nov 2018 10:46:34.000          3.995                       10.328    1881.837937
27 Nov 2018 10:46:35.000          4.070                       10.326    1874.730687
27 Nov 2018 10:46:36.000          4.144                       10.323    1867.625229
27 Nov 2018 10:46:37.000          4.220                       10.320    1860.521594
